Data;Vendas_Semana;Feriado_Semana;Temperatura_F;Temperatura_C;Preco_Gasolina;Inflação;Desemprego;
05/02/2010;1643690,9;0;40;4,44;2,572;0,21%;8,11%;
05/02/2010;2136989,46;0;40,19;4,55;2,572;0,21%;8,32%;
05/02/2010;461622,22;0;45,71;7,62;2,572;0,21%;7,37%;
05/02/2010;2135143,87;0;43,76;6,53;2,598;0,13%;8,62%;
05/02/2010;317173,1;0;39,7;4,28;2,572;0,21%;6,57%;
05/02/2010;1652635,1;0;40,43;4,68;2,572;0,21%;7,26%;
05/02/2010;496725,44;0;10,53;-11,93;2,58;0,19%;9,01%;
05/02/2010;1004137,09;0;34,14;1,19;2,572;0,21%;6,30%;
05/02/2010;549505,55;0;38,01;3,34;2,572;0,21%;6,42%;
05/02/2010;2193048,75;0;54,34;12,41;2,962;0,13%;9,77%;
05/02/2010;1528008,64;0;46,04;7,8;2,572;0,21%;7,37%;
05/02/2010;1100046,37;0;49,47;9,71;2,962;0,13%;13,98%;
05/02/2010;1967220,53;0;31,53;-0,26;2,666;0,13%;8,32%;
05/02/2010;2623469,95;0;27,31;-2,61;2,784;0,18%;8,99%;
05/02/2010;652122,44;0;19,83;-6,76;2,954;0,13%;8,35%;
05/02/2010;477409,3;0;19,79;-6,78;2,58;0,19%;7,04%;
05/02/2010;789036,02;0;23,11;-4,94;2,666;0,13%;6,55%;
05/02/2010;1205307,5;0;21,33;-5,93;2,788;0,13%;9,20%;
05/02/2010;1507637,17;0;20,96;-6,13;2,954;0,13%;8,35%;
05/02/2010;2401395,47;0;25,92;-3,38;2,784;0,20%;8,19%;
05/02/2010;798593,88;0;39,05;3,92;2,572;0,21%;8,32%;
05/02/2010;1033017,37;0;24,36;-4,24;2,788;0,14%;8,28%;
05/02/2010;1364721,58;0;15,25;-9,31;2,788;0,13%;5,89%;
05/02/2010;1388725,63;0;22,43;-5,32;2,954;0,13%;8,33%;
05/02/2010;677231,63;0;21,1;-6,06;2,784;0,20%;8,19%;
05/02/2010;1034119,21;0;9,55;-12,47;2,788;0,13%;8,49%;
05/02/2010;1874289,79;0;27,19;-2,67;2,954;0,14%;8,24%;
05/02/2010;1672352,29;0;49,47;9,71;2,962;0,13%;13,98%;
05/02/2010;538634,46;0;24,36;-4,24;2,788;0,13%;10,06%;
05/02/2010;465108,52;0;39,05;3,92;2,572;0,21%;8,32%;
05/02/2010;1469252,05;0;39,05;3,92;2,572;0,21%;8,32%;
05/02/2010;1087616,19;0;34,43;1,35;2,58;0,19%;9,01%;
05/02/2010;274593,43;0;58,4;14,67;2,962;0,13%;10,12%;
05/02/2010;956228,96;0;35,44;1,91;2,598;0,13%;9,52%;
05/02/2010;1230613,5;0;27,19;-2,67;2,784;0,14%;9,26%;
05/02/2010;467546,74;0;45,97;7,76;2,545;0,21%;8,55%;
05/02/2010;536006,73;0;45,97;7,76;2,572;0,21%;8,55%;
05/02/2010;358496,14;0;49,47;9,71;2,962;0,13%;13,98%;
05/02/2010;1230596,8;0;44,3;6,83;2,572;0,21%;8,55%;
05/02/2010;1001943,8;0;14,48;-9,73;2,788;0,13%;5,89%;
05/02/2010;1086533,18;0;30,27;-0,96;2,58;0,19%;7,54%;
05/02/2010;543384,01;0;54,34;12,41;2,962;0,13%;9,77%;
05/02/2010;647029,28;0;47,31;8,51;2,572;0,20%;9,52%;
05/02/2010;281090,95;0;31,53;-0,26;2,666;0,13%;8,12%;
05/02/2010;890689,51;0;27,31;-2,61;2,784;0,18%;8,99%;
12/02/2010;1641957,44;1;38,51;3,62;2,548;0,21%;8,11%;
12/02/2010;2137809,5;1;38,49;3,61;2,548;0,21%;8,32%;
12/02/2010;420728,96;1;47,93;8,85;2,548;0,21%;7,37%;
12/02/2010;2188307,39;1;28,84;-1,76;2,573;0,13%;8,62%;
12/02/2010;311825,7;1;39,81;4,34;2,548;0,21%;6,57%;
12/02/2010;1606283,86;1;40,57;4,76;2,548;0,21%;7,26%;
12/02/2010;524104,92;1;25,9;-3,39;2,572;0,19%;9,01%;
12/02/2010;994801,4;1;33,34;0,74;2,548;0,21%;6,30%;
12/02/2010;552677,48;1;37,08;2,82;2,548;0,21%;6,42%;
12/02/2010;2176028,52;1;49,96;9,98;2,828;0,13%;9,77%;
12/02/2010;1574684,08;1;48,01;8,89;2,548;0,21%;7,37%;
12/02/2010;1117863,33;1;47,87;8,82;2,946;0,13%;13,98%;
12/02/2010;2030933,46;1;33,16;0,64;2,671;0,13%;8,32%;
12/02/2010;1704218,84;1;27,73;-2,37;2,773;0,18%;8,99%;
12/02/2010;682447,1;1;22;-5,56;2,94;0,13%;8,35%;
12/02/2010;472044,28;1;20,87;-6,18;2,572;0,19%;7,04%;
12/02/2010;841951,91;1;18,36;-7,58;2,671;0,13%;6,55%;
12/02/2010;1187880,7;1;26,41;-3,11;2,771;0,13%;9,20%;
12/02/2010;1536549,95;1;23,22;-4,88;2,94;0,13%;8,35%;
12/02/2010;2109107,9;1;22,12;-5,49;2,773;0,20%;8,19%;
12/02/2010;809321,44;1;37,77;3,21;2,548;0,21%;8,32%;
12/02/2010;1022571,25;1;28,14;-2,14;2,771;0,14%;8,28%;
12/02/2010;1380892,08;1;18,75;-7,36;2,771;0,13%;5,89%;
12/02/2010;1414107,1;1;25,94;-3,37;2,94;0,13%;8,33%;
12/02/2010;583364,02;1;19,64;-6,87;2,773;0,20%;8,19%;
12/02/2010;1015684,09;1;18,14;-7,7;2,771;0,13%;8,49%;
12/02/2010;1745362,72;1;29,81;-1,22;2,94;0,14%;8,24%;
12/02/2010;1558968,49;1;47,87;8,82;2,946;0,13%;13,98%;
12/02/2010;529672,95;1;28,14;-2,14;2,771;0,13%;10,06%;
12/02/2010;497374,57;1;37,77;3,21;2,548;0,21%;8,32%;
12/02/2010;1543947,23;1;37,77;3,21;2,548;0,21%;8,32%;
12/02/2010;1123566,12;1;28,09;-2,17;2,572;0,19%;9,01%;
12/02/2010;294882,83;1;55,47;13,04;2,828;0,13%;10,12%;
12/02/2010;994610,99;1;36,13;2,29;2,573;0,13%;9,52%;
12/02/2010;1168815,31;1;29,81;-1,22;2,773;0,14%;9,26%;
12/02/2010;469563,7;1;46,11;7,84;2,539;0,21%;8,55%;
12/02/2010;529852,7;1;46,11;7,84;2,548;0,21%;8,55%;
12/02/2010;342214,9;1;47,87;8,82;2,946;0,13%;13,98%;
